#datatype measurement,tag,tag,tag,tag,double,datetime:RFC3339
m,gateway,host,node,owner,value,_time
Moisture,2,mqtt.angizehco.com,1,toossab,571,2022-02-23T17:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,570.5,2022-02-23T18:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,571,2022-02-23T19:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,571.5,2022-02-23T20:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,571.5,2022-02-23T21:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,572,2022-02-23T22:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,572.5,2022-02-23T23:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,572.5,2022-02-24T00:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,574,2022-02-24T01:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,573,2022-02-24T02:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,573,2022-02-24T03:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,573,2022-02-24T04:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,576.5,2022-02-24T05:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,576.5,2022-02-24T06:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,576,2022-02-24T07:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,577.6666667,2022-02-24T08:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,577,2022-02-24T09:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,577,2022-02-24T10:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,576,2022-02-24T11:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,576,2022-02-24T12:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,519.75,2022-02-24T13:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,442.3333333,2022-02-24T14:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,441,2022-02-24T15:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,440.3333333,2022-02-24T16:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,440.5,2022-02-24T17:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,439.6666667,2022-02-24T18:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,440.5,2022-02-24T19:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,439.3333333,2022-02-24T20:00:00Z
