,m,gateway,host,node,owner,value,_time
0,#datatype measurement,tag,tag,tag,tag,double,datetime:RFC3339
69,Humidity,1,mqtt.angizehco.com,4,toossab,14.69,2022-10-16T14:00:00Z
70,Humidity,1,mqtt.angizehco.com,4,toossab,15.34,2022-10-16T15:00:00Z
71,Humidity,1,mqtt.angizehco.com,4,toossab,17.53,2022-10-16T16:00:00Z
72,Humidity,1,mqtt.angizehco.com,4,toossab,18.5,2022-10-16T17:00:00Z
73,Humidity,1,mqtt.angizehco.com,4,toossab,17.97,2022-10-16T18:00:00Z
74,Humidity,1,mqtt.angizehco.com,4,toossab,17.07,2022-10-16T19:00:00Z
75,Humidity,1,mqtt.angizehco.com,4,toossab,17.05,2022-10-16T20:00:00Z
76,Humidity,1,mqtt.angizehco.com,4,toossab,17.75,2022-10-16T21:00:00Z
77,Humidity,1,mqtt.angizehco.com,4,toossab,17.75,2022-10-16T22:00:00Z
78,Humidity,1,mqtt.angizehco.com,4,toossab,17.49,2022-10-16T23:00:00Z
79,Humidity,1,mqtt.angizehco.com,4,toossab,17.71,2022-10-17T00:00:00Z
80,Humidity,1,mqtt.angizehco.com,4,toossab,17.58,2022-10-17T01:00:00Z
81,Humidity,1,mqtt.angizehco.com,4,toossab,17.45,2022-10-17T02:00:00Z
82,Humidity,1,mqtt.angizehco.com,4,toossab,17.95,2022-10-17T03:00:00Z
83,Humidity,1,mqtt.angizehco.com,4,toossab,18.35,2022-10-17T04:00:00Z
84,Humidity,1,mqtt.angizehco.com,4,toossab,17.95,2022-10-17T05:00:00Z
85,Humidity,1,mqtt.angizehco.com,4,toossab,17.87,2022-10-17T06:00:00Z
86,Humidity,1,mqtt.angizehco.com,4,toossab,17.98,2022-10-17T07:00:00Z
87,Humidity,1,mqtt.angizehco.com,4,toossab,17.77,2022-10-17T08:00:00Z
88,Humidity,1,mqtt.angizehco.com,4,toossab,17.42,2022-10-17T09:00:00Z
89,Humidity,1,mqtt.angizehco.com,4,toossab,16.24,2022-10-17T10:00:00Z
90,Humidity,1,mqtt.angizehco.com,4,toossab,16.82,2022-10-17T11:00:00Z
91,Humidity,1,mqtt.angizehco.com,4,toossab,16.6,2022-10-17T12:00:00Z
92,Humidity,1,mqtt.angizehco.com,4,toossab,16.73,2022-10-17T13:00:00Z
93,Humidity,1,mqtt.angizehco.com,4,toossab,17.03,2022-10-17T14:00:00Z
94,Humidity,1,mqtt.angizehco.com,4,toossab,17.69,2022-10-17T15:00:00Z
95,Humidity,1,mqtt.angizehco.com,4,toossab,19.44,2022-10-17T16:00:00Z
96,Humidity,1,mqtt.angizehco.com,4,toossab,19.38,2022-10-17T17:00:00Z
97,Humidity,1,mqtt.angizehco.com,4,toossab,19,2022-10-17T18:00:00Z
98,Humidity,1,mqtt.angizehco.com,4,toossab,18.9,2022-10-17T19:00:00Z
99,Humidity,1,mqtt.angizehco.com,4,toossab,18.86,2022-10-17T20:00:00Z
100,Humidity,1,mqtt.angizehco.com,4,toossab,19.02,2022-10-17T21:00:00Z
101,Humidity,1,mqtt.angizehco.com,4,toossab,19.13,2022-10-17T22:00:00Z
102,Humidity,1,mqtt.angizehco.com,4,toossab,19.16,2022-10-17T23:00:00Z
103,Humidity,1,mqtt.angizehco.com,4,toossab,19.29,2022-10-18T00:00:00Z
104,Humidity,1,mqtt.angizehco.com,4,toossab,19.12,2022-10-18T01:00:00Z
105,Humidity,1,mqtt.angizehco.com,4,toossab,19.72,2022-10-18T02:00:00Z
106,Humidity,1,mqtt.angizehco.com,4,toossab,19.75,2022-10-18T03:00:00Z
107,Humidity,1,mqtt.angizehco.com,4,toossab,20.27,2022-10-18T04:00:00Z
108,Humidity,1,mqtt.angizehco.com,4,toossab,21.89,2022-10-18T05:00:00Z
109,Humidity,1,mqtt.angizehco.com,4,toossab,22.24,2022-10-18T06:00:00Z
110,Humidity,1,mqtt.angizehco.com,4,toossab,23.36,2022-10-18T07:00:00Z
111,Humidity,1,mqtt.angizehco.com,4,toossab,24.24,2022-10-18T08:00:00Z
112,Humidity,1,mqtt.angizehco.com,4,toossab,24.3,2022-10-18T09:00:00Z
113,Humidity,1,mqtt.angizehco.com,4,toossab,23.67,2022-10-18T10:00:00Z
114,Humidity,1,mqtt.angizehco.com,4,toossab,22.89,2022-10-18T11:00:00Z
115,Humidity,1,mqtt.angizehco.com,4,toossab,22.1,2022-10-18T12:00:00Z
116,Humidity,1,mqtt.angizehco.com,4,toossab,21.19,2022-10-18T13:00:00Z
117,Humidity,1,mqtt.angizehco.com,4,toossab,22.04,2022-10-18T14:00:00Z
118,Humidity,1,mqtt.angizehco.com,4,toossab,21.62,2022-10-18T15:00:00Z
119,Humidity,1,mqtt.angizehco.com,4,toossab,21.94,2022-10-18T16:00:00Z
120,Humidity,1,mqtt.angizehco.com,4,toossab,21.81,2022-10-18T17:00:00Z
121,Humidity,1,mqtt.angizehco.com,4,toossab,21.97,2022-10-18T18:00:00Z
122,Humidity,1,mqtt.angizehco.com,4,toossab,21.98,2022-10-18T19:00:00Z
123,Humidity,1,mqtt.angizehco.com,4,toossab,22.76,2022-10-18T20:00:00Z
124,Humidity,1,mqtt.angizehco.com,4,toossab,23.01,2022-10-18T21:00:00Z
125,Humidity,1,mqtt.angizehco.com,4,toossab,22.68,2022-10-18T22:00:00Z
126,Humidity,1,mqtt.angizehco.com,4,toossab,22.46,2022-10-18T23:00:00Z
127,Humidity,1,mqtt.angizehco.com,4,toossab,24.73,2022-10-19T00:00:00Z
128,Humidity,1,mqtt.angizehco.com,4,toossab,27.08,2022-10-19T01:00:00Z
129,Humidity,1,mqtt.angizehco.com,4,toossab,27.24,2022-10-19T02:00:00Z
130,Humidity,1,mqtt.angizehco.com,4,toossab,27.26,2022-10-19T03:00:00Z
131,Humidity,1,mqtt.angizehco.com,4,toossab,28.63,2022-10-19T04:00:00Z
132,Humidity,1,mqtt.angizehco.com,4,toossab,26.15,2022-10-19T05:00:00Z
133,Humidity,1,mqtt.angizehco.com,4,toossab,25.7,2022-10-19T06:00:00Z
134,Humidity,1,mqtt.angizehco.com,4,toossab,27.25,2022-10-19T07:00:00Z
135,Humidity,1,mqtt.angizehco.com,4,toossab,23.49,2022-10-19T08:00:00Z
136,Humidity,1,mqtt.angizehco.com,4,toossab,22.58,2022-10-19T09:00:00Z
